Id,Weekly_Sales
1_1_2012-11-02,31224.0838696
1_1_2012-11-09,28784.6621819
1_1_2012-11-16,21116.879027
1_1_2012-11-23,22404.6089253
1_1_2012-11-30,21002.7477961
1_1_2012-12-07,28541.9818985
1_1_2012-12-14,32925.5519686
1_1_2012-12-21,49831.279234
1_1_2012-12-28,22069.0497004
1_1_2013-01-04,18812.2175353
1_1_2013-01-11,24117.9543784
1_1_2013-01-18,26054.2686343
1_1_2013-01-25,22294.7509164
1_1_2013-02-01,21079.8825391
1_1_2013-02-08,36322.7030577
1_1_2013-02-15,47898.9994649
1_1_2013-02-22,24989.6406461
1_1_2013-03-01,27948.3018064
1_1_2013-03-08,26540.8729929
1_1_2013-03-15,24619.1993203
1_1_2013-03-22,21609.7015489
1_1_2013-03-29,25147.6202184
1_1_2013-04-05,24876.9412866
1_1_2013-04-12,23043.7202395
1_1_2013-04-19,21083.0768454
1_1_2013-04-26,23113.4354751
1_1_2013-05-03,22819.285463
1_1_2013-05-10,23300.9518036
1_1_2013-05-17,21220.5996563
1_1_2013-05-24,18449.6112334
1_1_2013-05-31,17719.6698327
1_1_2013-06-07,20363.0356493
1_1_2013-06-14,18847.5954139
1_1_2013-06-21,18058.5870153
1_1_2013-06-28,16855.3851337
1_1_2013-07-05,20148.4829093
1_1_2013-07-12,18652.9797564
1_1_2013-07-19,19783.6609336
1_1_2013-07-26,18774.7605717
1_2_2012-11-02,47466.000809
1_2_2012-11-09,46586.7626165
1_2_2012-11-16,43090.0990998
1_2_2012-11-23,45283.6299706
1_2_2012-11-30,41448.9027776
1_2_2012-12-07,46888.042137
1_2_2012-12-14,45412.4139857
1_2_2012-12-21,63343.3141243
1_2_2012-12-28,40032.8878406
1_2_2013-01-04,44054.9709032
1_2_2013-01-11,45985.5191264
1_2_2013-01-18,44753.6073118
1_2_2013-01-25,44043.2603388
1_2_2013-02-01,51452.0107644
1_2_2013-02-08,48759.5724648
1_2_2013-02-15,48496.5264127
1_2_2013-02-22,44594.6263105
1_2_2013-03-01,47623.7813538
1_2_2013-03-08,46663.9872552
1_2_2013-03-15,45764.5281244
1_2_2013-03-22,44984.3373362
1_2_2013-03-29,43605.6721233
1_2_2013-04-05,47277.3084581
1_2_2013-04-12,46355.969151
1_2_2013-04-19,45428.0551719
1_2_2013-04-26,44166.1185871
1_2_2013-05-03,47683.9574901
1_2_2013-05-10,46595.1820255
1_2_2013-05-17,45785.1077598
1_2_2013-05-24,45021.8597578
1_2_2013-05-31,44018.7393456
1_2_2013-06-07,47418.9247076
1_2_2013-06-14,46503.412078
1_2_2013-06-21,45563.7167391
1_2_2013-06-28,44637.7562363
1_2_2013-07-05,47793.1462138
1_2_2013-07-12,46865.1158824
1_2_2013-07-19,45831.0061305
